,0,1,2,3,4,5,6,7,8,9,10
0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0
1,573.3263623813644,573.6572643903138,574.3332965848082,575.0293938935316,575.7470093446377,576.4877711375362,577.2534973050047,578.0462668916144,578.8683970732192,579.7225318103848,580.611679995617
2,573.6455712092877,574.3031033725694,575.6561393962699,577.0636567605039,578.5308672933569,580.0637670946861,581.66929900585,583.3555263885778,585.1318849398851,587.0095096264841,589.001640220628
3,573.9577399222054,574.9375426965356,576.9680264412744,579.1018048634294,581.3510253885987,583.7300379075353,586.2559416452524,588.9492582784479,591.8349134803095,594.9435135915727,598.313141383673
4,574.2629785817716,575.560615769764,578.2684683338947,581.142814226598,584.2067761098916,587.4883862009286,591.022013550816,594.8502931609652,599.026906437868,603.620549700055,608.7208098514033
5,574.5613987007579,576.1723634067977,579.5569845574212,583.1856129118398,587.0972365416361,591.340322408905,595.975980588319,601.0824814123035,606.7619368690061,613.1504488235745,620.4339060474135
6,574.8531120162698,576.7728337268093,580.8331057911568,585.2290848313196,590.0213334670791,595.2869834952454,601.125953878909,607.6701778955394,615.0977202868795,623.6551166440986,633.6934100535433
7,575.1382304860896,577.3620818775993,582.0963755636332,587.272069861052,592.9777923403768,599.329057470258,606.4793954299747,614.6373858743459,624.0933454049263,635.2624428496512,648.7542539533601
8,575.416865972935,577.9401699829749,583.3463505746178,589.3133716277147,595.9651308203539,603.4666880602236,612.0427484012761,622.0064850772962,633.805187678399,648.0926767020946,665.8374838894626
9,575.689130381087,578.5071663112818,584.5826023180673,591.3517567285006,598.9816418542971,607.6993741415594,617.8209665483795,629.7964618600989,644.2802329794521,662.233387352321,685.0368140297525
10,575.9551352991701,579.0631454879876,585.8047179435238,593.3859592963311,602.0253860755734,612.0258654690718,623.8169621349319,638.0205138316475,655.5463173880613,677.7011550605862,706.1868246133034
11,576.2149921064571,579.608188104035,587.0123014343553,595.4146843772301,605.0941851268942,616.4440611713361,630.0309908440591,646.683059869872,667.5993979612658,694.3956026687673,728.7626885159392
12,576.4688117716362,580.1423803245718,588.2049746403568,597.4366136559952,608.1856176330713,620.9508708119954,636.4599451428668,655.7763625781582,680.3897085263919,712.0651503825336,751.9283076365441
13,576.7167047748659,580.6658137912901,589.3823770156084,599.4504050845293,611.2970170587353,625.5421518031349,643.0966418821297,665.2768855266123,693.8107460698079,730.3127563298169,774.7613280148416
14,576.9587811029912,581.1785856746533,590.5441670867359,601.4547045107422,614.4254635017505,630.212596094543,649.9291535527975,675.1425797487349,707.6967122493148,748.6565578517985,796.5080887730385
15,577.1951499973674,581.6807980134926,591.6900239021244,603.448149462279,617.567807446577,634.9556590519154,656.9402198880405,685.3112265341358,721.8330747560849,766.623671602854,816.7054126310745
16,577.4259201062005,582.1725569826281,592.8196482195327,605.4293722118118,620.7206606769629,639.7635142043674,664.1069737437917,695.701349219282,735.9799247025626,783.8311921026905,835.1573879093598
17,577.6511993864103,582.6539730453435,593.9327607283691,607.3970051490344,623.8804226375578,644.6270435633196,671.4008779970428,706.2157583574678,749.9017657433719,800.0229058380266,851.8505944240425
18,577.8710949450298,583.1251605400108,595.0291027798435,609.3496882756594,627.0432849726036,649.5358622700168,678.7881312350839,716.7477430594222,763.393989504015,815.0637577741438,866.8731998974099
19,578.0857129133457,583.5862381538682,596.108438783565,611.28607538765,630.2052662677243,654.478392848935,686.2305144195217,727.188820418412,776.2990909114035,828.9122452527139,880.359585173962
20,578.2951583546871,584.037327875107,597.1705543418367,613.2048387406008,633.3622249990491,659.4419997415708,693.6865962170367,737.4365750799996,788.5109460149029,841.5892085531918,892.4581929101479
21,578.4995351653325,584.478554802183,598.2152576170322,615.1046759157632,636.5099018366842,664.4131556965935,701.1133223729164,747.4011138081867,799.970183833065,853.1521274406897,903.3148825114927
22,578.6989465408577,584.9100470840357,599.2423795225225,616.9843152851095,639.6439415782917,669.3776588400658,708.4677034050477,757.0092015647388,810.6550376486144,863.6770536005921,913.0652704111791
23,578.8934945792487,585.3319355744725,600.2517724608482,618.8425213997929,642.759940009704,674.3209014731631,715.7085791858203,766.2058846505126,820.5712697877395,873.2470895890856,921.8319015184048
24,579.0832800657543,585.7443535172089,601.2433117607436,620.6781007925214,645.8534709438732,679.2281290125934,722.7980582520738,774.9540012245892,829.743215310816,881.9455649900639,929.7238543857884
25,579.2684025919564,586.147436389773,602.216894805776,622.4899069361489,648.9201341166181,684.0847879768434,729.7027170694612,783.2322453535879,838.2066947071947,889.852278590788,936.8374683324839
26,579.4489606739481,586.5413216776986,603.1724402693201,624.2768441317805,651.9556051147923,688.876744021404,736.3943608155107,791.0325377270896,846.0038370060132,897.0416432487538,943.2575352822316
27,579.6250514820354,586.926148517139,604.1098891133981,626.0378748746169,654.9556577069486,693.5905741286781,742.8504008238109,798.357205140016,853.1794941941907,903.581951052637,949.0586056029995
28,579.7967708606034,587.3020575391323,605.02920268251,627.7720201894078,657.9162007799217,698.2138390864772,749.0537960062196,805.2163541853606,859.7788726591083,909.5352719509794,954.3062612320392
29,579.9642134144972,587.6691907657043,605.9303631800213,629.4783636712651,660.8333272370785,702.7352311523018,754.9927973361702,811.625606198686,865.8460446831298,914.9576945284731,959.058272209043
30,580.1274724387604,588.0276912042443,606.8133740188924,631.1560587781715,663.7033480836822,707.1447447998532,760.6604364918984,817.6042538314795,871.4230636531453,919.8997356802282,963.3656218276171
