,0,1,2,3,4,5,6,7,8,9,10
0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0
1,573.1663798169944,573.3347114400849,573.6774249158761,574.0285457834403,574.3885263575622,574.7578639282841,575.1370903379851,575.5268343404722,575.9277686093773,576.3406414721834,576.7662896683928
2,573.3308478720503,573.666646967344,574.3537399992125,575.0626432636084,575.7948780676071,576.5521541361088,577.3364042566723,578.1497882362298,578.9947612466714,579.8741096755396,580.7910093270732
3,573.4934157816426,573.9957934946764,575.0288427066837,576.1021813272839,577.219269737854,578.3840458415295,579.6010323198948,580.8754178811298,582.2132216193149,583.6214539037283,585.1083264484289
4,573.6540956505204,574.3221363908251,575.7026185663647,577.1470458718326,578.6618988467758,580.2546991173186,581.9342446330678,583.7108827817078,585.596907693186,587.6070257455893,589.759020091311
5,573.8128995208382,574.6456641377591,576.3749635110569,578.1971132025602,580.1229545376692,582.1653157003608,584.3395138779011,586.6640115774965,589.1613018814598,591.8591205563831,594.7921389840698
6,573.9698396297282,574.966365454407,577.0457685673556,579.252251127033,581.6026138489955,584.1171277326055,586.8205269806183,589.7433587208329,592.9238812491311,596.4107745055843,600.2671785534101
7,574.1249283851699,575.2842297661725,577.7149242080048,580.3123185120913,583.1010408605201,586.1113950243206,589.3811862051198,592.9582874165554,596.9044080855981,601.3007660922378,606.2568670763736
8,574.2781783754778,575.5992474044657,578.3823204717496,581.3771653050117,584.6183835839261,588.1493992717952,592.0256224461061,596.3190443178237,601.1252994976121,606.5747804997252,612.8508224722932
9,574.4296022984938,575.9114094349835,579.0478467389577,582.4466323477939,586.1547731020346,590.2324472553638,594.7582031460261,599.8368370746563,605.6119897537237,612.2868592172765,620.160240396465
10,574.579213019609,576.2207078313994,579.7113920471485,583.520549974084,587.7103225616478,592.3618566601649,597.5835364213998,603.5239395090017,610.3933747588172,618.5010929519267,628.3237859714974
11,574.727023586568,576.5271353480173,580.3728448531839,584.5987400868205,589.2851231304713,594.5389586682638,600.5064744615505,607.3937448179765,615.5022710536775,625.2935393023928,637.5145762302377
12,574.8730471248135,576.8306856113488,581.0320937362923,585.6810149785618,590.8792439872775,596.7650894598788,603.5321091450932,611.4608526260608,620.9758787635465,632.7542687513564,647.9474438133082
13,575.017296866961,577.1313528729722,581.6890268933126,586.7671766696257,592.4927274874948,599.0415795084095,606.6657720582259,615.7411223201914,626.8562009214489,640.9891494099708,659.8838880164235
14,575.1597862612967,577.4291325269571,582.3435323350329,587.8570173586915,594.125589080587,601.3697534570142,609.9130079161728,620.2517008796738,633.1903277233591,650.1207483721855,673.6281973517022
15,575.3005289135803,577.7240207727984,582.9954986625713,588.9503189853261,595.7778125391002,603.7509075495774,613.279560787116,625.0109950105465,640.0304203381585,660.2868236739985,689.5013018889923
16,575.4395385131396,578.016014209379,583.6448141861238,590.0468534842593,597.4493522214349,606.1863071453323,616.771332358335,630.0385752775234,647.433182346365,671.6342131058467,707.7709846556642
17,575.5768286526323,578.3051104234173,584.2913677924853,591.1463825135238,599.1401251819897,608.6771658785224,620.3943294932556,635.3549941195175,655.4584070459232,684.3041354400356,728.5207589420023
18,575.7124131583425,578.5913078139232,584.9350487161495,592.2486574975845,600.8500076614799,611.2246314075388,624.1546037257751,640.9813740421341,664.1661387277386,698.4048156119418,751.4834645939765
19,575.8463059835418,578.8746055150197,585.5757464586542,593.3534195818244,602.5788334130622,613.8297676148858,628.0581378499937,646.938888665258,673.6117914223358,713.969255999426,775.9493927235396
20,575.9785211850968,579.1550034629856,586.2133516520523,594.4603997345446,604.3263939462141,616.4935349596411,632.1107578652174,653.2478925281881,683.8385856290458,730.9044735972201,800.8775415886438
21,576.1090727659077,579.4325023874532,586.8477551420445,595.5693191200558,606.092433362993,619.2167599357015,636.3179360914164,659.9267372664132,694.8671030110497,748.9524765359781,825.1820136129543
22,576.2379748414395,579.7071036761714,587.4788489880578,596.679888302716,607.8766444186447,622.0001165083479,640.684629795681,666.9901562101079,706.6825948108263,767.6919968399503,847.9995299884879
23,576.3652416469782,579.9788095444757,588.1065262436277,597.7918076065624,609.6786656064533,624.8440877614961,645.2150464820306,674.4472437592568,719.2223039886941,786.5962758275236,868.7979177992358
24,576.4908875037574,580.2476229417276,588.7306806996189,598.9047687592093,611.4980785344954,627.7489423919449,649.9123621786651,682.299028580933,732.3668316482224,805.1274523101903,887.3454890294663
25,576.6149267409389,580.5135474506201,589.351207269444,600.0184535602821,613.3344048561408,630.7146908935359,654.7784007326495,690.5358159902397,745.9402481375065,822.8245693343205,903.6252012809856
26,576.7373735940587,580.7765874000609,589.9680022970477,601.1325340439454,615.1871032324651,633.7410569612017,659.8132797543177,699.1345963567891,759.7218250524376,839.3530687984484,917.7507939862205
27,576.8582425424371,581.0367478778053,590.5809637381627,602.2466738028619,617.0555662211666,636.8274295265505,665.0150237515717,708.0569719084721,773.4680527344572,854.5123397994371,929.9044950116016
28,576.9775480586364,581.2940346831273,591.1899911470704,603.3605280841824,618.9391181659012,639.9728292423965,670.3791574018217,717.248142353414,786.9391746377094,868.2165105706862,940.2964203478218
29,577.095304645324,581.5484543162236,591.7949859283507,604.4737432561901,620.8370134944017,643.1758644286883,675.8983193092137,726.6375118484266,799.9228715401737,880.4654487030932,949.1402006947297
30,577.2115267177232,581.8000139588194,592.395851023427,605.5859578420853,622.7484323451126,646.4346842784172,681.561920723591,736.1411218924877,812.2498295238898,891.316663505362,956.6394052263014
