,0,1,2,3,4
0,553.0,563.0,573.0,583.0,593.0
1,554.5325556631258,564.6059755578588,574.6787503228638,584.7505783964695,594.8211637976831
2,556.0645456749518,566.2094934352124,576.3527790799797,586.4937754366142,596.6318697224682
3,557.5954276205528,567.8098902361978,578.0212910113831,588.2286544263079,598.4310330095163
4,559.1246558910913,569.4064982979326,579.6834859104551,589.9542761352673,600.2175720224585
5,560.6516690508172,570.9986354346805,581.3385535647567,591.669697440248,601.9904105031386
6,562.1758931797136,572.5856093062692,582.9856775985843,593.3739758383931,603.7484827060288
7,563.696743721222,574.1667190823131,584.6240372913375,595.0661724478531,605.4907371631465
8,565.2136248179545,575.7412570076237,586.2528113344865,596.7453553230073,607.2161407804489
9,566.7259334418632,577.3085104651938,587.8711792582683,598.4106025763685,608.9236829069104
10,568.2330584833056,578.8677637340629,589.478324378437,600.0610059211676,610.612379778664
11,569.734382414665,580.4182998889044,591.0734359936095,601.6956743173806,612.2812763848868
12,571.2292833784128,581.9594024411914,592.6557131730005,603.3137341719375,613.9294502918727
13,572.7171360226238,583.4903585757451,594.2243637315989,604.9143348319224,615.5560187055588
14,574.1973135984609,585.0104578139329,595.7786101812914,606.4966538786119,617.160140968171
15,575.6691870787885,586.5189972389097,597.3176935499306,608.0598989595987,618.7410156004554
16,577.1321297921197,588.0152846143168,598.8408750233295,609.6033052029554,620.2978892178336
17,578.5855193923555,589.4986397516793,600.3474337305834,611.1261436974329,621.8300558831344
18,580.0287388782574,590.9683930232912,601.8366739216276,612.6277213210159,623.3368607559694
19,581.4611759571285,592.42389032485,603.3079258121165,614.107383530913,624.8177008396846
20,582.8822263418867,593.864495179615,604.7605472315989,615.5645166234443,626.2720266370392
21,584.2912959806265,595.2895896157178,606.1939266635309,616.9985479786436,627.6993438041806
22,585.6878021046622,596.6985769230909,607.6074834055172,618.4089496262501,629.099212338338
23,587.0711750508024,598.0908826782286,609.0006706503689,619.7952370868522,630.4712491402438
24,588.440859805784,599.4659564343259,610.3729762794131,621.1569720108887,631.8151253749343
25,589.7963172534768,600.8232739675815,611.7239232947603,622.4937620700871,633.1305690159304
26,591.1370261636773,602.1623373284547,613.0530727613466,623.805260675527,634.4173634490547
27,592.4624842492717,603.4826771053969,614.360022175186,625.0911692355313,635.6753448859284
28,593.772209072593,604.7838536417378,615.6444078919793,626.3512355094184,636.9044018268554
29,595.065740308215,606.065456368683,616.9059060020825,627.5852522999127,638.1044742613174
30,596.3426398670675,607.3271067692649,618.1442309095004,628.7930574152246,639.2755542022893
31,597.602492909767,608.5684585837641,619.3591353183757,629.9745335372485,640.4176801605321
32,598.8449098312651,609.7891967280897,620.5504104035524,631.1296086006707,641.5309370947198
33,600.0695265484766,610.9890384786671,621.7178859833364,632.2582516478876,642.615454873601
34,601.2760039806832,612.167733520651,622.8614310709559,633.3604728923542,643.6714044394654
35,602.4640297876003,613.325064585107,623.9809508616308,634.4363230745058,644.6989966582606
36,603.633318449497,614.4608474645514,625.0763867938306,635.4858902722494,645.6984798584798
37,604.7836119126006,615.5749296589626,626.147716584976,636.5092988885943,646.6701365776306
38,605.9146796040129,616.6671904656804,627.1949518331095,637.5067084504979,647.6142821143775
